idcompra,idcanalvenda,bandeira,Data,Preço,Preço_com_frete,Nome_Departamento,estado,cliente_Log,idade,renda,Faixa de Preço,Faixa de Idade,Faixa de Renda,Mes,Dia_da_Semana,Nome_Estado
437305,Mobile,A,2023-03-06,35.92,37.512,Bebes,SP,15478,47,8258,até 500,35 a 49,4.000 a 9.999,MAR,Segunda-feira,São Paulo
455795,Mobile,B,2023-03-31,1743.2,1785.1119999999999,Esporte_e_Lazer,RS,19790,26,9207,1.500 a 2.999,20 a 34,4.000 a 9.999,MAR,Sexta-feira,Rio Grande do Sul
75525,Mobile,B,2023-02-19,679.2,695.12,Moveis,SP,3442,78,6596,500 a 1.499,50 a 79,4.000 a 9.999,FEB,Domingo,São Paulo
258580,Mobile,A,2023-03-27,107.75999999999999,109.34400000000001,Bebes,ES,7662,25,8115,até 500,20 a 34,4.000 a 9.999,MAR,Segunda-feira,Espírito Santo
306675,Mobile,B,2023-02-17,471.2,511.12,Eletrodomesticos,RJ,15060,31,5661,até 500,20 a 34,4.000 a 9.999,FEB,Sexta-feira,Rio de Janeiro
422515,Internet,B,2023-03-02,319.2,323.12,Acessorios_e_Inovacoes,SP,11655,72,10174,até 500,50 a 79,10.000 a 14.999,MAR,Quinta-feira,São Paulo
437040,Internet,B,2023-03-20,151.92000000000002,155.91199999999998,Eletroportateis,PR,19778,48,1887,até 500,35 a 49,até 2000,MAR,Segunda-feira,Paraná
25,Internet,A,2023-04-14,87.92,91.912,Eletroportateis,RS,11987,19,11907,até 500,até 20,10.000 a 14.999,APR,Sexta-feira,Rio Grande do Sul
94950,Internet,A,2023-01-18,83.92,87.112,Bebes,SP,7076,57,10866,até 500,50 a 79,10.000 a 14.999,JAN,Quarta-feira,São Paulo
156185,Internet,A,2023-02-24,87.92,95.912,Eletroportateis,RJ,15712,30,10556,até 500,20 a 34,10.000 a 14.999,FEB,Sexta-feira,Rio de Janeiro
176660,Mobile,A,2023-03-07,271.91999999999996,284.64,Utilidades_Domesticas,BA,2840,30,13577,até 500,20 a 34,10.000 a 14.999,MAR,Terça-feira,Bahia
